tail -f /var/log/apache2/error.log

[Wed Nov 23 21:05:24.688804 2016] [rewrite:trace4] [pid 27204] mod_rewrite.c(475): [client 176.151.98.236:63831] 176.151.98.236 - - [vcp.gromi.net/sid#7fcd8789cf00][rid#7fcd87819a90/initial/redir#7] [perdir /home/guillaume/public_html/] RewriteCond: input='/home/guillaume/public_html/app/index.php' pattern='!-f' => matched, referer: http://vcp.gromi.net/~guillaume/app/components/ticket/ticketView.html
[Wed Nov 23 21:05:24.688814 2016] [rewrite:trace2] [pid 27204] mod_rewrite.c(475): [client 176.151.98.236:63831] 176.151.98.236 - - [vcp.gromi.net/sid#7fcd8789cf00][rid#7fcd87819a90/initial/redir#7] [perdir /home/guillaume/public_html/] rewrite 'app/index.php' -> 'index.php', referer: http://vcp.gromi.net/~guillaume/app/components/ticket/ticketView.html
[Wed Nov 23 21:05:24.688824 2016] [rewrite:trace3] [pid 27204] mod_rewrite.c(475): [client 176.151.98.236:63831] 176.151.98.236 - - [vcp.gromi.net/sid#7fcd8789cf00][rid#7fcd87819a90/initial/redir#7] [perdir /home/guillaume/public_html/] add per-dir prefix: index.php -> /home/guillaume/public_html/index.php, referer: http://vcp.gromi.net/~guillaume/app/components/ticket/ticketView.html
[Wed Nov 23 21:05:24.688835 2016] [rewrite:trace2] [pid 27204] mod_rewrite.c(475): [client 176.151.98.236:63831] 176.151.98.236 - - [vcp.gromi.net/sid#7fcd8789cf00][rid#7fcd87819a90/initial/redir#7] [perdir /home/guillaume/public_html/] trying to replace prefix /home/guillaume/public_html/ with /~guillaume/app/, referer: http://vcp.gromi.net/~guillaume/app/components/ticket/ticketView.html
[Wed Nov 23 21:05:24.688845 2016] [rewrite:trace5] [pid 27204] mod_rewrite.c(475): [client 176.151.98.236:63831] 176.151.98.236 - - [vcp.gromi.net/sid#7fcd8789cf00][rid#7fcd87819a90/initial/redir#7] strip matching prefix: /home/guillaume/public_html/index.php -> index.php, referer: http://vcp.gromi.net/~guillaume/app/components/ticket/ticketView.html
[Wed Nov 23 21:05:24.688854 2016] [rewrite:trace4] [pid 27204] mod_rewrite.c(475): [client 176.151.98.236:63831] 176.151.98.236 - - [vcp.gromi.net/sid#7fcd8789cf00][rid#7fcd87819a90/initial/redir#7] add subst prefix: index.php -> /~guillaume/app/index.php, referer: http://vcp.gromi.net/~guillaume/app/components/ticket/ticketView.html
[Wed Nov 23 21:05:24.688879 2016] [rewrite:trace1] [pid 27204] mod_rewrite.c(475): [client 176.151.98.236:63831] 176.151.98.236 - - [vcp.gromi.net/sid#7fcd8789cf00][rid#7fcd87819a90/initial/redir#7] [perdir /home/guillaume/public_html/] internal redirect with /~guillaume/app/index.php [INTERNAL REDIRECT], referer: http://vcp.gromi.net/~guillaume/app/components/ticket/ticketView.html
[Wed Nov 23 21:05:24.689000 2016] [rewrite:trace3] [pid 27204] mod_rewrite.c(475): [client 176.151.98.236:63831] 176.151.98.236 - - [vcp.gromi.net/sid#7fcd8789cf00][rid#7fcd8780c028/initial/redir#8] [perdir /home/guillaume/public_html/] strip per-dir prefix: /home/guillaume/public_html/app/index.php -> app/index.php, referer: http://vcp.gromi.net/~guillaume/app/components/ticket/ticketView.html
[Wed Nov 23 21:05:24.689015 2016] [rewrite:trace3] [pid 27204] mod_rewrite.c(475): [client 176.151.98.236:63831] 176.151.98.236 - - [vcp.gromi.net/sid#7fcd8789cf00][rid#7fcd8780c028/initial/redir#8] [perdir /home/guillaume/public_html/] applying pattern '^(.*)/$' to uri 'app/index.php', referer: http://vcp.gromi.net/~guillaume/app/components/ticket/ticketView.html
[Wed Nov 23 21:05:24.689028 2016] [rewrite:trace3] [pid 27204] mod_rewrite.c(475): [client 176.151.98.236:63831] 176.151.98.236 - - [vcp.gromi.net/sid#7fcd8789cf00][rid#7fcd8780c028/initial/redir#8] [perdir /home/guillaume/public_html/] strip per-dir prefix: /home/guillaume/public_html/app/index.php -> app/index.php, referer: http://vcp.gromi.net/~guillaume/app/components/ticket/ticketView.html
[Wed Nov 23 21:05:24.689071 2016] [rewrite:trace3] [pid 27204] mod_rewrite.c(475): [client 176.151.98.236:63831] 176.151.98.236 - - [vcp.gromi.net/sid#7fcd8789cf00][rid#7fcd8780c028/initial/redir#8] [perdir /home/guillaume/public_html/] applying pattern '^' to uri 'app/index.php', referer: http://vcp.gromi.net/~guillaume/app/components/ticket/ticketView.html
[Wed Nov 23 21:05:24.689090 2016] [rewrite:trace4] [pid 27204] mod_rewrite.c(475): [client 176.151.98.236:63831] 176.151.98.236 - - [vcp.gromi.net/sid#7fcd8789cf00][rid#7fcd8780c028/initial/redir#8] [perdir /home/guillaume/public_html/] RewriteCond: input='/home/guillaume/public_html/app/index.php' pattern='!-d' => matched, referer: http://vcp.gromi.net/~guillaume/app/components/ticket/ticketView.html
[Wed Nov 23 21:05:24.689104 2016] [rewrite:trace4] [pid 27204] mod_rewrite.c(475): [client 176.151.98.236:63831] 176.151.98.236 - - [vcp.gromi.net/sid#7fcd8789cf00][rid#7fcd8780c028/initial/redir#8] [perdir /home/guillaume/public_html/] RewriteCond: input='/home/guillaume/public_html/app/index.php' pattern='!-f' => matched, referer: http://vcp.gromi.net/~guillaume/app/components/ticket/ticketView.html
[Wed Nov 23 21:05:24.689114 2016] [rewrite:trace2] [pid 27204] mod_rewrite.c(475): [client 176.151.98.236:63831] 176.151.98.236 - - [vcp.gromi.net/sid#7fcd8789cf00][rid#7fcd8780c028/initial/redir#8] [perdir /home/guillaume/public_html/] rewrite 'app/index.php' -> 'index.php', referer: http://vcp.gromi.net/~guillaume/app/components/ticket/ticketView.html
[Wed Nov 23 21:05:24.689124 2016] [rewrite:trace3] [pid 27204] mod_rewrite.c(475): [client 176.151.98.236:63831] 176.151.98.236 - - [vcp.gromi.net/sid#7fcd8789cf00][rid#7fcd8780c028/initial/redir#8] [perdir /home/guillaume/public_html/] add per-dir prefix: index.php -> /home/guillaume/public_html/index.php, referer: http://vcp.gromi.net/~guillaume/app/components/ticket/ticketView.html
[Wed Nov 23 21:05:24.689145 2016] [rewrite:trace2] [pid 27204] mod_rewrite.c(475): [client 176.151.98.236:63831] 176.151.98.236 - - [vcp.gromi.net/sid#7fcd8789cf00][rid#7fcd8780c028/initial/redir#8] [perdir /home/guillaume/public_html/] trying to replace prefix /home/guillaume/public_html/ with /~guillaume/app/, referer: http://vcp.gromi.net/~guillaume/app/components/ticket/ticketView.html
[Wed Nov 23 21:05:24.689156 2016] [rewrite:trace5] [pid 27204] mod_rewrite.c(475): [client 176.151.98.236:63831] 176.151.98.236 - - [vcp.gromi.net/sid#7fcd8789cf00][rid#7fcd8780c028/initial/redir#8] strip matching prefix: /home/guillaume/public_html/index.php -> index.php, referer: http://vcp.gromi.net/~guillaume/app/components/ticket/ticketView.html
[Wed Nov 23 21:05:24.689173 2016] [rewrite:trace4] [pid 27204] mod_rewrite.c(475): [client 176.151.98.236:63831] 176.151.98.236 - - [vcp.gromi.net/sid#7fcd8789cf00][rid#7fcd8780c028/initial/redir#8] add subst prefix: index.php -> /~guillaume/app/index.php, referer: http://vcp.gromi.net/~guillaume/app/components/ticket/ticketView.html
[Wed Nov 23 21:05:24.689183 2016] [rewrite:trace1] [pid 27204] mod_rewrite.c(475): [client 176.151.98.236:63831] 176.151.98.236 - - [vcp.gromi.net/sid#7fcd8789cf00][rid#7fcd8780c028/initial/redir#8] [perdir /home/guillaume/public_html/] internal redirect with /~guillaume/app/index.php [INTERNAL REDIRECT], referer: http://vcp.gromi.net/~guillaume/app/components/ticket/ticketView.html
